Word,POS,Lemma
بات,NN,بات
بعد,NN,بعد
پاکستان,PN,پاکستان
کام,NN,کام
وقت,NN,وقت
اردو,PN,اردو
بھائی,NN,بھائی
آج,NN,آج
نام,NN,نام
زیادہ,ADV,زیادہ
دل,NN,دل
نظر,NN,نظر
دن,NN,دن
شروع,NN,شروع
خیال,NN,خیال
استعمال,NN,استعمال
سال,NN,سال
گھر,NN,گھر
حکومت,NN,حکومت
ملک,NN,ملک
دنیا,NN,دنیا
کہنا,VB,کہہ
موجود,ADJ,موجود
پیش,NN,پیش
اچھا,ADJ,اچھا
دونوں,OR,دو
موضوع,NN,موضوع
جواب,NN,جواب
حاصل,ADJ,حاصل
دیکھ,VB,دیکھ
خلاف,NN,خلاف
یاد,NN,یاد
آغاز,NN,آغاز
محفل,NN,محفل
زندگی,NN,زندگی
شامل,ADJ,شامل
ذیل,NN,ذیل
دور,NN,دور
کوشش,NN,کوشش
صلی,PN,صلی
فورم,NN,فورم
کئی,Q,کئی
کتاب,NN,کتاب
بیان,NN,بیان
غیر,ADJ,غیر
جگہ,NN,جگہ
کہتے,VB,کہہ
وسلم,PN,وسلم
اچھی,ADJ,اچھا
افراد,NN,فرد
پسند,NN,پسند
خان,NN,خان
عمل,NN,عمل
سر,NN,سر
ہاتھ,NN,ہاتھ
سوال,NN,سوال
علم,NN,علم
ضرورت,NN,ضرورت
لکھا,VB,لکھ
باقی,ADJ,باقی
بڑے,ADJ,بڑا
معلوم,ADJ,معلوم
جانب,NN,جانب
عمر,NN,عمر
ٹھیک,ADJ,ٹھیک
ایم,PN,ایم
علیہ,NN,علیہ
دیکھا,VB,دیکھ
انسان,NN,انسان
ہوگا,VB,ہو
جاری,ADJ,جاری
مکمل,ADJ,مکمل
امریکہ,PN,امریکہ
بتایا,VB,بتا
عام,ADJ,عام
پیدا,NN,پیدا
حال,NN,حال
زبان,NN,زبان
شخص,NN,شخص
محمد,PN,محمد
اتنی,Q,اتنی
چاہیے,AA,چاہ
بی,NN,بی
ختم,ADJ,ختم
شہر,NN,شہر
اسلام,NN,اسلام
پتہ,NN,پتہ
پوسٹ,PN,پوسٹ
قرآن,PN,قرآن
سکتی,AA,سکی
پولیس,NN,پولیس
بڑا,ADJ,بڑا
حق,NN,حق
مختلف,ADJ,مختلف
علیہ,PN,علیہ
بس,NN,بس
چیز,NN,چیز
روز,NN,روز
محبت,NN,محبت
خبر,NN,خبر
اتنا,Q,اتنا
یوں,AP,یوں
قسم,NN,قسم
شمشاد,NN,شمشاد
ٹی,PN,ٹی
مدد,NN,مدد
صورت,NN,صورت
پانی,NN,پانی
درست,ADJ,درست
غزل,NN,غزل
دوست,NN,دوست
احمد,PN,احمد
پوری,ADJ,پوری
باتیں,NN,بات
صدر,NN,صدر
علی,PN,علی
وآلہ,PN,والہ
ميں,NN,میں
کروں,VB,کر
خاص,ADJ,خاص
تحریر,NN,تحریر
ایس,PN,ایس
شاعری,NN,شاعر
مطلب,NN,مطلب
غلط,ADJ,غلط
مسئلہ,NN,مسئلہ
سکے,AA,سکا
حوالے,NN,حوالے
فرمایا,VB,فرما
الفاظ,NN,لفظ
عوام,NN,عوام
تعلق,NN,تعلق
لکھ,VB,لکھ
واپس,ADJ,واپس
کلام,NN,کلام
اُس,PP,اُس
قرار,NN,قرار
صحیح,ADJ,صحیح
اہم,ADJ,اہم
شعر,NN,شعر
سمجھ,VB,سمجھ
فوج,NN,فوج
آخری,ADJ,آخر
ذکر,NN,ذکر
متعلق,NN,متعلق
تاریخ,NN,تاریخ
ثابت,ADJ,ثابت
چکا,AA,چکا
کردہ,ADJ,کردہ
مشکل,ADJ,مشکل
دیگر,NN,دیگر
لفظ,NN,لفظ
قوم,NN,قوم
نمبر,NN,نمبر
ملا,VB,ملا
آباد,ADJ,آباد
شاہ,PN,شاہ
چل,VB,چل
خیر,NN,خیر
ضروری,ADJ,ضروری
بھارت,NN,بھارت
ء,NN,ء
زیادہ,Q,زیادہ
سیاسی,ADJ,سیاسی
امید,NN,امید
پاکستانی,ADJ,پاکستان
بس,ADV,بس
موقع,NN,موقع
فیصلہ,NN,فیصلہ
ویب,PN,ویب
نئی,ADJ,نئی
زیر,NN,زیر
اسلامی,PN,اِسلام
بی,PN,بی
پڑھ,VB,پڑھ
نئے,ADJ,نئے
جنگ,NN,جنگ
وزیر,NN,وزیر
قائم,ADJ,قائم
امریکی,ADJ,امریکہ
کرکے,NN,کر
ظاہر,ADJ,ظاہر
طالبان,NN,طالبان
انداز,NN,انداز
تیار,ADJ,تیار
بچوں,NN,بچہ
حد,NN,حد
تصویر,NN,تصویر
ہلاک,ADJ,ہلاک
چھوڑ,VB,چھوڑ
بنانے,VB,بن
واضح,ADJ,واضح
بھائی,PN,بھائی
قریب,NN,قریب
علاقے,NN,علاقہ
بچے,NN,بچہ
ادا,NN,ادا
حکم,NN,حکم
ممکن,ADJ,ممکن
ٹیم,NN,ٹیم
سارے,ADJ,سارا
ہمیشہ,ADV,ہمیشہ
حسین,ADJ,حسین
کار,NN,کار
مواد,NN,مواد
ڈاکٹر,NN,ڈاکٹر
شادی,NN,شادی
مسلمانوں,NN,مسلمان
اُن,PP,اُن
قتل,NN,قتل
پی,VB,پی
زمین,NN,زمین
خوشی,NN,خوش
رائے,NN,رائے
ناں,NN,ناں
میچ,NN,میچ
مسلم,PN,مسلم
کہنے,VB,کہہ
پاک,ADJ,پاک
آواز,NN,اواز
بنایا,VB,بن
بتا,VB,بتا
رکھ,VB,رکھ
آدمی,NN,آدمی
حقیقت,NN,حقیقت
ہوگی,VB,ہو
نظام,NN,نظام
الگ,ADJ,الگ
رنز,NN,رنز
/,EXP,
دین,NN,دین
قبول,ADJ,قبول
تعلیم,NN,تعلیم
ڈی,PN,ڈی
دعا,NN,دعا
ادھر,AP,ادھر
اچھے,ADJ,اچھا
رنگ,NN,رنگ
ملے,VB,مل
کردیا,VB,كردے
عنہ,NN,عنہ
اصل,ADJ,اصل
پارٹی,NN,پارٹی
یقین,NN,یقین
تعداد,NN,تعداد
بجائے,ADV,بجائے
حل,NN,حل
فون,NN,فون
ذمہ,NN,ذمہ
پی,PN,پی
پہنچ,VB,پہنچ
حالات,NN,حالات
اتنے,Q,اتنا
جان,PN,جان
دنوں,NN,دن
بلاگ,NN,بلاگ
امام,NN,امام
حدیث,NN,حدیث
اسلام,PN,اسلام
اک,NN,اک
فلم,NN,فلم
سفر,NN,سفر
جماعت,NN,جماعت
قانون,NN,قانون
اختیار,NN,اختیار
حملے,NN,حملہ
منہ,NN,منہ
قومی,ADJ,قومی
کراچی,PN,کراچی
ماہ,NN,ماہ
محسوس,ADJ,محسوس
جوابات,NN,جواب
ذرا,NN,ذرا
عدالت,NN,عدالت
ابن,PN,ابن
نکل,VB,نکل
دوبارہ,ADV,دوبارہ
پسندیدہ,ADJ,پسند
ٹیگ,NN,ٹیگ
عطا,NN,عطا
برائے,ADV,برائے
مقصد,NN,مقصد
پورا,ADJ,پورا
خوبصورت,ADJ,خوبصورت
معلومات,NN,معلومات
قدر,NN,قدر
فکر,NN,فکر
اجازت,NN,اجازت
عورت,NN,عورت
ہوگا,TA,ہو
بحث,NN,بحث
لاہور,PN,لاہور
پیغام,NN,پیغام
دفعہ,NN,دفعہ
پتا,NN,پتا
فرق,NN,فرق
اظہار,NN,اظہار
محمد,NN,محمد
کافی,ADJ,کافی
پوچھا,VB,پوچھ
مرتبہ,NN,مرتبہ
انتظار,NN,انتظار
پڑے,AA,پڑا
ترجمہ,NN,ترجمہ
طریقہ,NN,طریقہ
اعلان,NN,اعلان
تلاش,NN,تلاش
لینے,VB,لے
بہترین,ADJ,بہترین
کردار,NN,کردار
زمرہ,NN,زمرہ
جلد,ADV,جلد
روایت,NN,روایت
نیا,ADJ,نیا
سلسلے,NN,سلسلہ
تعالیٰ,NN,تعالی
حملہ,NN,حملہ
فوجی,NN,فوجی
سن,VB,سن
اعظم,NN,اعظم
گزشتہ,ADJ,گزشتہ
نماز,NN,نماز
انھوں,NN,ان
انگریزی,PN,انگریزی
شریف,ADJ,شریف
امن,NN,امن
ممالک,NN,ملک
سکیں,AA,سکا
مقام,NN,مقام
ای,PN,ای
ماں,NN,ماں
نقصان,NN,نقصان
راہ,NN,راہ
اضافہ,NN,اضافہ
چائے,NN,چائے
شدت,NN,شدت
عالمی,ADJ,عالم
باعث,NN,باعث
علی,NN,علی
پڑھنے,VB,پڑھ
فائدہ,NN,فائدہ
علاقوں,NN,علاقہ
محفل,PN,محفل
مین,PN,مین
دیکھنے,VB,دیکھ
فراہم,ADJ,فراہم
دہشت,NN,دہشت
دار,NN,دار
واقعہ,NN,واقعہ
خواتین,NN,خاتون
سیاست,NN,سیاست
ترقی,NN,ترقی
موت,NN,موت
رسول,PN,رسول
سخت,ADJ,سخت
شاعر,NN,شاعر
مسائل,NN,مسلہ
عمران,NN,عمر
لکھنے,VB,لکھ
فیصد,NN,فیصد
سمجھ,NN,سمجھ
تحریک,NN,تحریک
حسن,NN,حسن
انسانی,ADJ,انسان
آنکھوں,NN,آنکھ
سنا,VB,سن
ڈال,VB,ڈال
اہل,ADJ,اہل
ملاقات,NN,ملاقات
در,SC,در
رضی,PN,رضی
بڑھ,VB,بڑھ
پروگرام,NN,پروگرام
غلطی,NN,غلطی
حالت,NN,حالت
بنیاد,NN,بنیاد
میل,U,میل
مثال,NN,مثال
ھے,AA,ھے
بھیا,VB,بھیا
سارا,ADJ,سارا
پورے,ADJ,پورا
دیکھتے,VB,دیکھ
بھلا,ADJ,بھلا
سچ,NN,سچ
صفحہ,NN,صفحہ
تصاویر,NN,تصویر
ٹیسٹ,NN,ٹيسٹ
ملی,VB,مل
ذہن,NN,ذہن
کھا,VB,کھا
میڈیا,NN,میڈیا
غور,NN,غور
نظم,NN,نظم
اثر,NN,اثر
الزام,NN,الزام
حاضر,ADJ,حاضر
کھانا,NN,کھا
خواب,NN,خواب
لڑیاں,NN,لڑی
کافی,Q,کافی
رسول,NN,رسول
مسجد,NN,مسجد
دیکھیں,VB,دیکھ
سرکاری,ADJ,سرکاری
نامہ,NN,نامہ
بیٹھے,VB,بیٹھ
جان,NN,جان
چھوٹے,ADJ,چھوٹا
بھائی,VB,بھائی
مار,VB,مار
آسان,ADJ,آسان
مشہور,ADJ,مشہور
کہتا,VB,كہہ
روشنی,NN,روشن
سزا,NN,سزا
سائٹ,NN,سائٹ
گفتگو,NN,گفتگو
داری,NN,داری
شک,NN,شک
سلسلہ,NN,سلسلہ
اکرم,PN,اکرم
عرب,PN,عرب
سمجھا,VB,سمجھ
توجہ,NN,توجہ
ایمان,NN,ایمان
جانا,VB,جا
محفوظ,ADJ,محفوظ
داخل,NN,داخل
شکار,NN,شکار
جانتے,VB,جان
کتنے,Q,کتنا
این,PN,این
رپورٹ,NN,رپورٹ
خون,NN,خون
فائل,NN,فائل
کرنی,VB,کر
باتوں,NN,بات
کھیل,NN,کھیل
واقعات,NN,واقع
زبردست,ADJ,زبردست
بھول,VB,بھول
بجلی,NN,بجلی
صاف,ADJ,صاف
معاملہ,NN,معاملہ
شکل,NN,شکل
ہاتھوں,NN,ہاتھ
کمی,NN,کم
سوچ,VB,سوچ
ادب,NN,ادب
غالب,ADJ,غالب
کامیاب,ADJ,کامیاب
جلدی,NN,جلد
ذاتی,ADJ,ذاتی
دھاگے,NN,دھاگا
مذہب,NN,مذہب
زور,NN,زور
گئیں,AA,گیا
پہنچا,VB,پہنچ
اٹھا,VB,اٹھ
اُس,PD,اُس
لنک,PN,لنک
سوچ,NN,سوچ
مسلمان,PN,مسلمان
اندازہ,NN,اندازہ
عرض,NN,عرض
تبدیل,NN,تبدیل
انتخاب,NN,انتخاب
میاں,NN,میاں
زمانے,NN,زمانہ
بنائے,VB,بن
معاملے,NN,معاملہ
قدم,NN,قدم
لیگ,PN,لیگ
جانا,AA,جا
جمع,ADJ,جمع
کہانی,NN,كہانی
مقابلے,NN,مقابلہ
نکال,VB,نکل
شکر,NN,شکر
بین,NN,بین
ساری,Q,سارا
