Word,POS
بات,NN
بعد,NN
پاکستان,PN
کام,NN
وقت,NN
اردو,PN
بھائی,NN
آج,NN
نام,NN
زیادہ,ADV
دل,NN
نظر,NN
دن,NN
شروع,NN
خیال,NN
استعمال,NN
سال,NN
گھر,NN
حکومت,NN
ملک,NN
دنیا,NN
کہنا,VB
موجود,ADJ
پیش,NN
اچھا,ADJ
دونوں,OR
موضوع,NN
جواب,NN
حاصل,ADJ
دیکھ,VB
خلاف,NN
یاد,NN
آغاز,NN
محفل,NN
زندگی,NN
شامل,ADJ
ذیل,NN
دور,NN
کوشش,NN
صلی,PN
فورم,NN
کئی,Q
کتاب,NN
بیان,NN
غیر,ADJ
جگہ,NN
کہتے,VB
وسلم,PN
اچھی,ADJ
افراد,NN
پسند,NN
خان,NN
عمل,NN
سر,NN
ہاتھ,NN
سوال,NN
علم,NN
ضرورت,NN
لکھا,VB
باقی,ADJ
بڑے,ADJ
معلوم,ADJ
جانب,NN
عمر,NN
ٹھیک,ADJ
ایم,PN
علیہ,NN
دیکھا,VB
انسان,NN
ہوگا,VB
جاری,ADJ
مکمل,ADJ
امریکہ,PN
بتایا,VB
عام,ADJ
پیدا,NN
حال,NN
زبان,NN
شخص,NN
محمد,PN
اتنی,Q
چاہیے,AA
بی,NN
ختم,ADJ
شہر,NN
اسلام,NN
پتہ,NN
پوسٹ,PN
قرآن,PN
سکتی,AA
پولیس,NN
بڑا,ADJ
حق,NN
مختلف,ADJ
علیہ,PN
بس,NN
چیز,NN
روز,NN
محبت,NN
خبر,NN
اتنا,Q
یوں,AP
قسم,NN
شمشاد,NN
ٹی,PN
مدد,NN
صورت,NN
پانی,NN
درست,ADJ
غزل,NN
دوست,NN
احمد,PN
پوری,ADJ
باتیں,NN
صدر,NN
علی,PN
وآلہ,PN
ميں,NN
کروں,VB
خاص,ADJ
تحریر,NN
ایس,PN
شاعری,NN
مطلب,NN
غلط,ADJ
مسئلہ,NN
سکے,AA
حوالے,NN
فرمایا,VB
الفاظ,NN
عوام,NN
تعلق,NN
لکھ,VB
واپس,ADJ
کلام,NN
اُس,PP
قرار,NN
صحیح,ADJ
اہم,ADJ
شعر,NN
سمجھ,VB
فوج,NN
آخری,ADJ
ذکر,NN
متعلق,NN
تاریخ,NN
ثابت,ADJ
چکا,AA
کردہ,ADJ
مشکل,ADJ
دیگر,NN
لفظ,NN
قوم,NN
نمبر,NN
ملا,VB
آباد,ADJ
شاہ,PN
چل,VB
خیر,NN
ضروری,ADJ
بھارت,NN
ء,NN
زیادہ,Q
سیاسی,ADJ
امید,NN
پاکستانی,ADJ
بس,ADV
موقع,NN
فیصلہ,NN
ویب,PN
نئی,ADJ
زیر,NN
اسلامی,PN
بی,PN
پڑھ,VB
نئے,ADJ
جنگ,NN
وزیر,NN
قائم,ADJ
امریکی,ADJ
کرکے,NN
ظاہر,ADJ
طالبان,NN
انداز,NN
تیار,ADJ
بچوں,NN
حد,NN
تصویر,NN
ہلاک,ADJ
چھوڑ,VB
بنانے,VB
واضح,ADJ
بھائی,PN
قریب,NN
علاقے,NN
بچے,NN
ادا,NN
حکم,NN
ممکن,ADJ
ٹیم,NN
سارے,ADJ
ہمیشہ,ADV
حسین,ADJ
کار,NN
مواد,NN
ڈاکٹر,NN
شادی,NN
مسلمانوں,NN
اُن,PP
قتل,NN
پی,VB
زمین,NN
خوشی,NN
رائے,NN
ناں,NN
میچ,NN
مسلم,PN
کہنے,VB
پاک,ADJ
آواز,NN
بنایا,VB
بتا,VB
رکھ,VB
آدمی,NN
حقیقت,NN
ہوگی,VB
نظام,NN
الگ,ADJ
رنز,NN
/,EXP
دین,NN
قبول,ADJ
تعلیم,NN
ڈی,PN
دعا,NN
ادھر,AP
اچھے,ADJ
رنگ,NN
ملے,VB
کردیا,VB
عنہ,NN
اصل,ADJ
پارٹی,NN
یقین,NN
تعداد,NN
بجائے,ADV
حل,NN
فون,NN
ذمہ,NN
پی,PN
پہنچ,VB
حالات,NN
اتنے,Q
جان,PN
دنوں,NN
بلاگ,NN
امام,NN
حدیث,NN
اسلام,PN
اک,NN
فلم,NN
سفر,NN
جماعت,NN
قانون,NN
اختیار,NN
حملے,NN
منہ,NN
قومی,ADJ
کراچی,PN
ماہ,NN
محسوس,ADJ
جوابات,NN
ذرا,NN
عدالت,NN
ابن,PN
نکل,VB
دوبارہ,ADV
پسندیدہ,ADJ
ٹیگ,NN
عطا,NN
برائے,ADV
مقصد,NN
پورا,ADJ
خوبصورت,ADJ
معلومات,NN
قدر,NN
فکر,NN
اجازت,NN
عورت,NN
ہوگا,TA
